id,dataset,index,longitude
GOMu0.04_334,GOMu0.04/expt_90.1m000,334,-84.6400146484375
GOMu0.04_335,GOMu0.04/expt_90.1m000,335,-84.5999755859375
GOMu0.04_336,GOMu0.04/expt_90.1m000,336,-84.55999755859375
GOMu0.04_337,GOMu0.04/expt_90.1m000,337,-84.52001953125
GOMu0.04_338,GOMu0.04/expt_90.1m000,338,-84.47998046875
GOMu0.04_339,GOMu0.04/expt_90.1m000,339,-84.44000244140625
GOMu0.04_340,GOMu0.04/expt_90.1m000,340,-84.4000244140625
GOMu0.04_341,GOMu0.04/expt_90.1m000,341,-84.3599853515625
GOMu0.04_342,GOMu0.04/expt_90.1m000,342,-84.32000732421875
GOMu0.04_343,GOMu0.04/expt_90.1m000,343,-84.280029296875
GOMu0.04_344,GOMu0.04/expt_90.1m000,344,-84.239990234375
GOMu0.04_345,GOMu0.04/expt_90.1m000,345,-84.20001220703125
GOMu0.04_346,GOMu0.04/expt_90.1m000,346,-84.1600341796875
GOMu0.04_347,GOMu0.04/expt_90.1m000,347,-84.1199951171875
GOMu0.04_348,GOMu0.04/expt_90.1m000,348,-84.08001708984375
GOMu0.04_349,GOMu0.04/expt_90.1m000,349,-84.03997802734375
GOMu0.04_350,GOMu0.04/expt_90.1m000,350,-84.0
GOMu0.04_351,GOMu0.04/expt_90.1m000,351,-83.96002197265625
GOMu0.04_352,GOMu0.04/expt_90.1m000,352,-83.91998291015625
GOMu0.04_353,GOMu0.04/expt_90.1m000,353,-83.8800048828125
GOMu0.04_354,GOMu0.04/expt_90.1m000,354,-83.8399658203125
GOMu0.04_355,GOMu0.04/expt_90.1m000,355,-83.79998779296875
GOMu0.04_356,GOMu0.04/expt_90.1m000,356,-83.760009765625
GOMu0.04_357,GOMu0.04/expt_90.1m000,357,-83.719970703125
GOMu0.04_358,GOMu0.04/expt_90.1m000,358,-83.67999267578125
GOMu0.04_359,GOMu0.04/expt_90.1m000,359,-83.6400146484375
GOMu0.04_360,GOMu0.04/expt_90.1m000,360,-83.5999755859375
GOMu0.04_361,GOMu0.04/expt_90.1m000,361,-83.55999755859375
GOMu0.04_362,GOMu0.04/expt_90.1m000,362,-83.52001953125
GOMu0.04_363,GOMu0.04/expt_90.1m000,363,-83.47998046875
GOMu0.04_364,GOMu0.04/expt_90.1m000,364,-83.44000244140625
GOMu0.04_365,GOMu0.04/expt_90.1m000,365,-83.4000244140625
GOMu0.04_366,GOMu0.04/expt_90.1m000,366,-83.3599853515625
GOMu0.04_367,GOMu0.04/expt_90.1m000,367,-83.32000732421875
GOMu0.04_368,GOMu0.04/expt_90.1m000,368,-83.280029296875
GOMu0.04_369,GOMu0.04/expt_90.1m000,369,-83.239990234375
